country,country_code,source,year,is_estimated,indicator_code,value
Kenya,KEN,JMP,2015,False,pct_improved_water_total,66.3
Kenya,KEN,JMP,2016,False,pct_improved_water_total,67.2
Kenya,KEN,JMP,2017,False,pct_improved_water_total,68.2
Kenya,KEN,JMP,2018,False,pct_improved_water_total,69.1
Kenya,KEN,JMP,2019,False,pct_improved_water_total,70.0
Kenya,KEN,JMP,2020,False,pct_improved_water_total,70.9
Kenya,KEN,JMP,2021,False,pct_improved_water_total,71.7
Kenya,KEN,JMP,2022,False,pct_improved_water_total,72.6
Kenya,KEN,JMP,2023,False,pct_improved_water_total,73.5
Kenya,KEN,JMP,2024,False,pct_improved_water_total,74.4
Kenya,KEN,JMP,2025,False,pct_improved_water_total,75.2
Kenya,KEN,JMP,2026,False,pct_improved_water_total,76.1
Kenya,KEN,JMP,2027,True,pct_improved_water_total,76.2
Kenya,KEN,JMP,2028,True,pct_improved_water_total,76.4
Kenya,KEN,JMP,2029,True,pct_improved_water_total,76.5
Kenya,KEN,JMP,2030,True,pct_improved_water_total,76.6
Kenya,KEN,JMP,2000,False,pct_improved_water_urban,89.9
Kenya,KEN,JMP,2001,False,pct_improved_water_urban,90.0
Kenya,KEN,JMP,2002,False,pct_improved_water_urban,90.1
Kenya,KEN,JMP,2003,False,pct_improved_water_urban,90.2
Kenya,KEN,JMP,2004,False,pct_improved_water_urban,90.3
Kenya,KEN,JMP,2005,False,pct_improved_water_urban,90.4
Kenya,KEN,JMP,2006,False,pct_improved_water_urban,90.5
Kenya,KEN,JMP,2007,False,pct_improved_water_urban,90.6
Kenya,KEN,JMP,2008,False,pct_improved_water_urban,90.7
Kenya,KEN,JMP,2009,False,pct_improved_water_urban,90.8
Kenya,KEN,JMP,2010,False,pct_improved_water_urban,90.9
Kenya,KEN,JMP,2011,False,pct_improved_water_urban,91.0
Kenya,KEN,JMP,2012,False,pct_improved_water_urban,91.1
Kenya,KEN,JMP,2013,False,pct_improved_water_urban,91.2
Kenya,KEN,JMP,2014,False,pct_improved_water_urban,91.3
Kenya,KEN,JMP,2015,False,pct_improved_water_urban,91.3
Kenya,KEN,JMP,2016,False,pct_improved_water_urban,91.4
Kenya,KEN,JMP,2017,False,pct_improved_water_urban,91.5
Kenya,KEN,JMP,2018,False,pct_improved_water_urban,91.6
Kenya,KEN,JMP,2019,False,pct_improved_water_urban,91.7
Kenya,KEN,JMP,2020,False,pct_improved_water_urban,91.8
Kenya,KEN,JMP,2021,False,pct_improved_water_urban,91.9
Kenya,KEN,JMP,2022,False,pct_improved_water_urban,92.0
Kenya,KEN,JMP,2023,False,pct_improved_water_urban,92.1
Kenya,KEN,JMP,2024,False,pct_improved_water_urban,92.2
Kenya,KEN,JMP,2025,False,pct_improved_water_urban,92.3
Kenya,KEN,JMP,2026,False,pct_improved_water_urban,92.4
Kenya,KEN,JMP,2027,True,pct_improved_water_urban,92.4
Kenya,KEN,JMP,2028,True,pct_improved_water_urban,92.4
Kenya,KEN,JMP,2029,True,pct_improved_water_urban,92.4
Kenya,KEN,JMP,2030,True,pct_improved_water_urban,92.4
Kenya,KEN,JMP,2000,False,pct_limited_water_rural,7.3
Kenya,KEN,JMP,2001,False,pct_limited_water_rural,7.4
Kenya,KEN,JMP,2002,False,pct_limited_water_rural,7.6
Kenya,KEN,JMP,2003,False,pct_limited_water_rural,7.8
Kenya,KEN,JMP,2004,False,pct_limited_water_rural,7.9
Kenya,KEN,JMP,2005,False,pct_limited_water_rural,8.1
Kenya,KEN,JMP,2006,False,pct_limited_water_rural,8.3
Kenya,KEN,JMP,2007,False,pct_limited_water_rural,8.4
Kenya,KEN,JMP,2008,False,pct_limited_water_rural,8.6
Kenya,KEN,JMP,2009,False,pct_limited_water_rural,8.7
Kenya,KEN,JMP,2010,False,pct_limited_water_rural,8.9
Kenya,KEN,JMP,2011,False,pct_limited_water_rural,9.1
Kenya,KEN,JMP,2012,False,pct_limited_water_rural,9.2
Kenya,KEN,JMP,2013,False,pct_limited_water_rural,9.4
Kenya,KEN,JMP,2014,False,pct_limited_water_rural,9.5
Kenya,KEN,JMP,2015,False,pct_limited_water_rural,9.7
Kenya,KEN,JMP,2016,False,pct_limited_water_rural,9.9
Kenya,KEN,JMP,2017,False,pct_limited_water_rural,10.0
Kenya,KEN,JMP,2018,False,pct_limited_water_rural,10.2
Kenya,KEN,JMP,2019,False,pct_limited_water_rural,10.3
Kenya,KEN,JMP,2020,False,pct_limited_water_rural,10.5
Kenya,KEN,JMP,2021,False,pct_limited_water_rural,10.6
Kenya,KEN,JMP,2022,False,pct_limited_water_rural,10.8
Kenya,KEN,JMP,2023,False,pct_limited_water_rural,11.0
Kenya,KEN,JMP,2024,False,pct_limited_water_rural,11.1
Kenya,KEN,JMP,2025,False,pct_limited_water_rural,11.3
Kenya,KEN,JMP,2026,False,pct_limited_water_rural,11.4
Kenya,KEN,JMP,2027,True,pct_limited_water_rural,11.4
Kenya,KEN,JMP,2028,True,pct_limited_water_rural,11.4
Kenya,KEN,JMP,2029,True,pct_limited_water_rural,11.4
Kenya,KEN,JMP,2030,True,pct_limited_water_rural,11.4
Kenya,KEN,JMP,2000,False,pct_limited_water_total,6.7
Kenya,KEN,JMP,2001,False,pct_limited_water_total,6.8
Kenya,KEN,JMP,2002,False,pct_limited_water_total,6.9
Kenya,KEN,JMP,2003,False,pct_limited_water_total,7.1
Kenya,KEN,JMP,2004,False,pct_limited_water_total,7.2
Kenya,KEN,JMP,2005,False,pct_limited_water_total,7.3
Kenya,KEN,JMP,2006,False,pct_limited_water_total,7.4
Kenya,KEN,JMP,2007,False,pct_limited_water_total,7.5
Kenya,KEN,JMP,2008,False,pct_limited_water_total,7.6
Kenya,KEN,JMP,2009,False,pct_limited_water_total,7.7
Kenya,KEN,JMP,2010,False,pct_limited_water_total,7.7
Kenya,KEN,JMP,2011,False,pct_limited_water_total,7.8
Kenya,KEN,JMP,2012,False,pct_limited_water_total,7.9
Kenya,KEN,JMP,2013,False,pct_limited_water_total,8.0
Kenya,KEN,JMP,2014,False,pct_limited_water_total,8.1
Kenya,KEN,JMP,2015,False,pct_limited_water_total,8.2
Kenya,KEN,JMP,2016,False,pct_limited_water_total,8.3
Kenya,KEN,JMP,2017,False,pct_limited_water_total,8.3
Kenya,KEN,JMP,2018,False,pct_limited_water_total,8.4
Kenya,KEN,JMP,2019,False,pct_limited_water_total,8.5
Kenya,KEN,JMP,2020,False,pct_limited_water_total,8.5
Kenya,KEN,JMP,2021,False,pct_limited_water_total,8.6
Kenya,KEN,JMP,2022,False,pct_limited_water_total,8.7
Kenya,KEN,JMP,2023,False,pct_limited_water_total,8.7
Kenya,KEN,JMP,2024,False,pct_limited_water_total,8.8
Kenya,KEN,JMP,2025,False,pct_limited_water_total,8.8
Kenya,KEN,JMP,2026,False,pct_limited_water_total,8.9
Kenya,KEN,JMP,2027,True,pct_limited_water_total,8.9
Kenya,KEN,JMP,2028,True,pct_limited_water_total,8.8
Kenya,KEN,JMP,2029,True,pct_limited_water_total,8.8
Kenya,KEN,JMP,2030,True,pct_limited_water_total,8.7
Kenya,KEN,JMP,2000,False,pct_limited_water_urban,4.5
Kenya,KEN,JMP,2001,False,pct_limited_water_urban,4.4
Kenya,KEN,JMP,2002,False,pct_limited_water_urban,4.4
Kenya,KEN,JMP,2003,False,pct_limited_water_urban,4.4
Kenya,KEN,JMP,2004,False,pct_limited_water_urban,4.3
Kenya,KEN,JMP,2005,False,pct_limited_water_urban,4.3
Kenya,KEN,JMP,2006,False,pct_limited_water_urban,4.2
Kenya,KEN,JMP,2007,False,pct_limited_water_urban,4.2
Kenya,KEN,JMP,2008,False,pct_limited_water_urban,4.1
Kenya,KEN,JMP,2009,False,pct_limited_water_urban,4.1
Kenya,KEN,JMP,2010,False,pct_limited_water_urban,4.0
Kenya,KEN,JMP,2011,False,pct_limited_water_urban,4.0
Kenya,KEN,JMP,2012,False,pct_limited_water_urban,3.9
Kenya,KEN,JMP,2013,False,pct_limited_water_urban,3.9
Kenya,KEN,JMP,2014,False,pct_limited_water_urban,3.8
Kenya,KEN,JMP,2015,False,pct_limited_water_urban,3.8
Kenya,KEN,JMP,2016,False,pct_limited_water_urban,3.7
Kenya,KEN,JMP,2017,False,pct_limited_water_urban,3.7
Kenya,KEN,JMP,2018,False,pct_limited_water_urban,3.6
Kenya,KEN,JMP,2019,False,pct_limited_water_urban,3.6
Kenya,KEN,JMP,2020,False,pct_limited_water_urban,3.5
Kenya,KEN,JMP,2021,False,pct_limited_water_urban,3.5
Kenya,KEN,JMP,2022,False,pct_limited_water_urban,3.4
Kenya,KEN,JMP,2023,False,pct_limited_water_urban,3.4
Kenya,KEN,JMP,2024,False,pct_limited_water_urban,3.3
Kenya,KEN,JMP,2025,False,pct_limited_water_urban,3.3
Kenya,KEN,JMP,2026,False,pct_limited_water_urban,3.3
Kenya,KEN,JMP,2027,True,pct_limited_water_urban,3.3
Kenya,KEN,JMP,2028,True,pct_limited_water_urban,3.3
Kenya,KEN,JMP,2029,True,pct_limited_water_urban,3.3
Kenya,KEN,JMP,2030,True,pct_limited_water_urban,3.3
Kenya,KEN,JMP,2000,False,pct_piped_water_rural,18.5
Kenya,KEN,JMP,2001,False,pct_piped_water_rural,18.6
Kenya,KEN,JMP,2002,False,pct_piped_water_rural,18.8
Kenya,KEN,JMP,2003,False,pct_piped_water_rural,19.0
Kenya,KEN,JMP,2004,False,pct_piped_water_rural,19.1
Kenya,KEN,JMP,2005,False,pct_piped_water_rural,19.3
Kenya,KEN,JMP,2006,False,pct_piped_water_rural,19.5
Kenya,KEN,JMP,2007,False,pct_piped_water_rural,19.7
Kenya,KEN,JMP,2008,False,pct_piped_water_rural,19.8
Kenya,KEN,JMP,2009,False,pct_piped_water_rural,20.0
Kenya,KEN,JMP,2010,False,pct_piped_water_rural,20.2
Kenya,KEN,JMP,2011,False,pct_piped_water_rural,20.3
Kenya,KEN,JMP,2012,False,pct_piped_water_rural,20.5
Kenya,KEN,JMP,2013,False,pct_piped_water_rural,20.7
Kenya,KEN,JMP,2014,False,pct_piped_water_rural,20.8
Kenya,KEN,JMP,2015,False,pct_piped_water_rural,21.0
Kenya,KEN,JMP,2016,False,pct_piped_water_rural,21.2
Kenya,KEN,JMP,2017,False,pct_piped_water_rural,21.3
Kenya,KEN,JMP,2018,False,pct_piped_water_rural,21.5
Kenya,KEN,JMP,2019,False,pct_piped_water_rural,21.7
Kenya,KEN,JMP,2020,False,pct_piped_water_rural,21.8
Kenya,KEN,JMP,2021,False,pct_piped_water_rural,22.0
Kenya,KEN,JMP,2022,False,pct_piped_water_rural,22.2
Kenya,KEN,JMP,2023,False,pct_piped_water_rural,22.4
Kenya,KEN,JMP,2024,False,pct_piped_water_rural,22.5
Kenya,KEN,JMP,2025,False,pct_piped_water_rural,22.7
Kenya,KEN,JMP,2026,False,pct_piped_water_rural,22.9
Kenya,KEN,JMP,2027,True,pct_piped_water_rural,22.9
Kenya,KEN,JMP,2028,True,pct_piped_water_rural,22.9
Kenya,KEN,JMP,2029,True,pct_piped_water_rural,22.9
Kenya,KEN,JMP,2030,True,pct_piped_water_rural,22.9
Kenya,KEN,JMP,2000,False,pct_piped_water_total,31.3
Kenya,KEN,JMP,2001,False,pct_piped_water_total,31.5
Kenya,KEN,JMP,2002,False,pct_piped_water_total,31.7
Kenya,KEN,JMP,2003,False,pct_piped_water_total,31.8
Kenya,KEN,JMP,2004,False,pct_piped_water_total,32.0
Kenya,KEN,JMP,2005,False,pct_piped_water_total,32.1
Kenya,KEN,JMP,2006,False,pct_piped_water_total,32.3
Kenya,KEN,JMP,2007,False,pct_piped_water_total,32.4
Kenya,KEN,JMP,2008,False,pct_piped_water_total,32.5
Kenya,KEN,JMP,2009,False,pct_piped_water_total,32.6
Kenya,KEN,JMP,2010,False,pct_piped_water_total,32.7
Kenya,KEN,JMP,2011,False,pct_piped_water_total,32.9
Kenya,KEN,JMP,2012,False,pct_piped_water_total,33.0
Kenya,KEN,JMP,2013,False,pct_piped_water_total,33.1
Kenya,KEN,JMP,2014,False,pct_piped_water_total,33.2
Kenya,KEN,JMP,2015,False,pct_piped_water_total,33.3
Kenya,KEN,JMP,2016,False,pct_piped_water_total,33.3
Kenya,KEN,JMP,2017,False,pct_piped_water_total,33.4
Kenya,KEN,JMP,2018,False,pct_piped_water_total,33.5
Kenya,KEN,JMP,2019,False,pct_piped_water_total,33.6
Kenya,KEN,JMP,2020,False,pct_piped_water_total,33.6
Kenya,KEN,JMP,2021,False,pct_piped_water_total,33.7
Kenya,KEN,JMP,2022,False,pct_piped_water_total,33.7
Kenya,KEN,JMP,2023,False,pct_piped_water_total,33.8
Kenya,KEN,JMP,2024,False,pct_piped_water_total,33.8
Kenya,KEN,JMP,2025,False,pct_piped_water_total,33.8
Kenya,KEN,JMP,2026,False,pct_piped_water_total,33.9
Kenya,KEN,JMP,2027,True,pct_piped_water_total,34.1
Kenya,KEN,JMP,2028,True,pct_piped_water_total,34.3
Kenya,KEN,JMP,2029,True,pct_piped_water_total,34.5
Kenya,KEN,JMP,2030,True,pct_piped_water_total,34.7
Kenya,KEN,JMP,2000,False,pct_piped_water_urban,83.2
Kenya,KEN,JMP,2001,False,pct_piped_water_urban,82.2
Kenya,KEN,JMP,2002,False,pct_piped_water_urban,81.3
Kenya,KEN,JMP,2003,False,pct_piped_water_urban,80.3
Kenya,KEN,JMP,2004,False,pct_piped_water_urban,79.3
Kenya,KEN,JMP,2005,False,pct_piped_water_urban,78.4
Kenya,KEN,JMP,2006,False,pct_piped_water_urban,77.4
Kenya,KEN,JMP,2007,False,pct_piped_water_urban,76.4
Kenya,KEN,JMP,2008,False,pct_piped_water_urban,75.5
Kenya,KEN,JMP,2009,False,pct_piped_water_urban,74.5
Kenya,KEN,JMP,2010,False,pct_piped_water_urban,73.6
Kenya,KEN,JMP,2011,False,pct_piped_water_urban,72.6
Kenya,KEN,JMP,2012,False,pct_piped_water_urban,71.6
Kenya,KEN,JMP,2013,False,pct_piped_water_urban,70.7
Kenya,KEN,JMP,2014,False,pct_piped_water_urban,69.7
Kenya,KEN,JMP,2015,False,pct_piped_water_urban,68.8
Kenya,KEN,JMP,2016,False,pct_piped_water_urban,67.8
Kenya,KEN,JMP,2017,False,pct_piped_water_urban,66.8
Kenya,KEN,JMP,2018,False,pct_piped_water_urban,65.9
Kenya,KEN,JMP,2019,False,pct_piped_water_urban,64.9
Kenya,KEN,JMP,2020,False,pct_piped_water_urban,63.9
Kenya,KEN,JMP,2021,False,pct_piped_water_urban,63.0
Kenya,KEN,JMP,2022,False,pct_piped_water_urban,62.0
Kenya,KEN,JMP,2023,False,pct_piped_water_urban,61.1
Kenya,KEN,JMP,2024,False,pct_piped_water_urban,60.1
Kenya,KEN,JMP,2025,False,pct_piped_water_urban,59.1
Kenya,KEN,JMP,2026,False,pct_piped_water_urban,58.2
Kenya,KEN,JMP,2027,True,pct_piped_water_urban,58.2
Kenya,KEN,JMP,2028,True,pct_piped_water_urban,58.2
Kenya,KEN,JMP,2029,True,pct_piped_water_urban,58.2
Kenya,KEN,JMP,2030,True,pct_piped_water_urban,58.2
Kenya,KEN,JMP,2000,False,pct_surface_water_rural,37.3
Kenya,KEN,JMP,2001,False,pct_surface_water_rural,36.8
Kenya,KEN,JMP,2002,False,pct_surface_water_rural,36.3
Kenya,KEN,JMP,2003,False,pct_surface_water_rural,35.7
Kenya,KEN,JMP,2004,False,pct_surface_water_rural,35.2
Kenya,KEN,JMP,2005,False,pct_surface_water_rural,34.7
Kenya,KEN,JMP,2006,False,pct_surface_water_rural,34.2
Kenya,KEN,JMP,2007,False,pct_surface_water_rural,33.7
Kenya,KEN,JMP,2008,False,pct_surface_water_rural,33.2
Kenya,KEN,JMP,2009,False,pct_surface_water_rural,32.6
Kenya,KEN,JMP,2010,False,pct_surface_water_rural,32.1
Kenya,KEN,JMP,2011,False,pct_surface_water_rural,31.6
Kenya,KEN,JMP,2012,False,pct_surface_water_rural,31.1
Kenya,KEN,JMP,2013,False,pct_surface_water_rural,30.6
Kenya,KEN,JMP,2014,False,pct_surface_water_rural,30.1
Kenya,KEN,JMP,2015,False,pct_surface_water_rural,29.5
Kenya,KEN,JMP,2016,False,pct_surface_water_rural,29.0
Kenya,KEN,JMP,2017,False,pct_surface_water_rural,28.5
Kenya,KEN,JMP,2018,False,pct_surface_water_rural,28.0
Kenya,KEN,JMP,2019,False,pct_surface_water_rural,27.5
Kenya,KEN,JMP,2020,False,pct_surface_water_rural,26.9
Kenya,KEN,JMP,2021,False,pct_surface_water_rural,26.4
Kenya,KEN,JMP,2022,False,pct_surface_water_rural,25.9
Kenya,KEN,JMP,2023,False,pct_surface_water_rural,25.4
Kenya,KEN,JMP,2024,False,pct_surface_water_rural,24.9
Kenya,KEN,JMP,2025,False,pct_surface_water_rural,24.4
Kenya,KEN,JMP,2026,False,pct_surface_water_rural,23.8
Kenya,KEN,JMP,2027,True,pct_surface_water_rural,23.8
Kenya,KEN,JMP,2028,True,pct_surface_water_rural,23.8
Kenya,KEN,JMP,2029,True,pct_surface_water_rural,23.8
Kenya,KEN,JMP,2030,True,pct_surface_water_rural,23.8
Kenya,KEN,JMP,2000,False,pct_surface_water_total,30.5
Kenya,KEN,JMP,2001,False,pct_surface_water_total,30.0
Kenya,KEN,JMP,2002,False,pct_surface_water_total,29.5
Kenya,KEN,JMP,2003,False,pct_surface_water_total,29.0
Kenya,KEN,JMP,2004,False,pct_surface_water_total,28.5
Kenya,KEN,JMP,2005,False,pct_surface_water_total,28.0
Kenya,KEN,JMP,2006,False,pct_surface_water_total,27.5
Kenya,KEN,JMP,2007,False,pct_surface_water_total,27.0
Kenya,KEN,JMP,2008,False,pct_surface_water_total,26.5
Kenya,KEN,JMP,2009,False,pct_surface_water_total,26.0
Kenya,KEN,JMP,2010,False,pct_surface_water_total,25.5
